DATE,INDPRO
5/1/1982,48.6669
6/1/1982,48.5415
7/1/1982,48.3775
8/1/1982,47.9382
9/1/1982,47.8139
10/1/1982,47.3575
11/1/1982,47.2078
12/1/1982,46.8713
1/1/1983,47.7398
2/1/1983,47.4484
3/1/1983,47.8426
4/1/1983,48.4483
5/1/1983,48.747
6/1/1983,49.0434
7/1/1983,49.7739
8/1/1983,50.364
9/1/1983,51.0937
10/1/1983,51.4902
11/1/1983,51.721
12/1/1983,51.9769
1/1/1984,53.0088
2/1/1984,53.2486
3/1/1984,53.5028
4/1/1984,53.8233
5/1/1984,54.1104
6/1/1984,54.3075
7/1/1984,54.4587
8/1/1984,54.5239
9/1/1984,54.3696
10/1/1984,54.3474
11/1/1984,54.529
12/1/1984,54.5556
1/1/1985,54.527
2/1/1985,54.6871
3/1/1985,54.7673
4/1/1985,54.6467
5/1/1985,54.7396
6/1/1985,54.711
7/1/1985,54.4365
8/1/1985,54.6121
9/1/1985,54.8147
10/1/1985,54.6228
11/1/1985,54.8123
12/1/1985,55.3553
1/1/1986,55.6453
2/1/1986,55.2634
3/1/1986,54.8728
4/1/1986,54.935
5/1/1986,55.0399
6/1/1986,54.826
7/1/1986,55.167
8/1/1986,55.0726
9/1/1986,55.2237
10/1/1986,55.4589
11/1/1986,55.6763
12/1/1986,56.2078
1/1/1987,55.9911
2/1/1987,56.7373
3/1/1987,56.8136
4/1/1987,57.185
5/1/1987,57.5424
6/1/1987,57.8502
7/1/1987,58.2421
8/1/1987,58.6784
9/1/1987,58.9088
10/1/1987,59.7008
11/1/1987,59.9956
12/1/1987,60.3246
1/1/1988,60.309
2/1/1988,60.6122
3/1/1988,60.7452
4/1/1988,61.108
5/1/1988,60.9843
6/1/1988,61.1615
7/1/1988,61.171
8/1/1988,61.4771
9/1/1988,61.2785
10/1/1988,61.5488
11/1/1988,61.7049
12/1/1988,61.9851
1/1/1989,62.1677
2/1/1989,61.8916
3/1/1989,62.0508
4/1/1989,62.0289
5/1/1989,61.6871
6/1/1989,61.6857
7/1/1989,61.0896
8/1/1989,61.6847
9/1/1989,61.4794
10/1/1989,61.4014
11/1/1989,61.6081
12/1/1989,61.9588
1/1/1990,61.6352
2/1/1990,62.1951
3/1/1990,62.4916
4/1/1990,62.3511
5/1/1990,62.5353
6/1/1990,62.7479
7/1/1990,62.6435
8/1/1990,62.8704
9/1/1990,62.8839
10/1/1990,62.4973
11/1/1990,61.7175
12/1/1990,61.2885
1/1/1991,61.0842
2/1/1991,60.6387
3/1/1991,60.2973
4/1/1991,60.4524
5/1/1991,61.0587
6/1/1991,61.5514
7/1/1991,61.7201
8/1/1991,61.7289
